dialogue_id; speaker; description;
Ses05M_impro04;M;Expresses deep frustration and hopelessness about prolonged unemployment, feels socially isolated and questions personal faults, defensive yet open to feedback, values self-respect and personal talents struggles with financial stress and self-esteem, persistent but disillusioned.;
Ses05M_impro04;F;Supportive and empathetic listener, offers practical suggestions and tries to be encouraging, acknowledges difficulties of job market, provides gentle, honest feedback maintains patience despite limited solutions, shows understanding of stress and emotional state.;
Ses05M_impro05;M;Somewhat confused about airline procedures, concerned about important belongings, lacks knowledge of travel insurance norms, politely seeking help but slightly impatient realistic yet worried about losing luggage.;
Ses05M_impro05;F;Calm and pragmatic, responds with short informational replies, cautious about legal and procedural limits, tries to provide assistance within constraints, professional and empathetic but limited in ability to solve the problem.;
Ses05M_impro06;M;Openly emotional and reflective, shares deep feelings of grief and loss, expressive about personal pain and existential thoughts, honest and vulnerable about struggles seeks understanding and emotional support.;
Ses05M_impro06;F;Supportive and empathetic listener, offers sympathy and validation, gently challenges negative thoughts, encourages healthy grieving, provides comfort and reassurance.;
Ses05M_impro07;M;Enthusiastic and optimistic, proud of personal achievements, candid and friendly, values hard work and determination, open about financial concerns but positive looks forward to social connections and new opportunities.;
Ses05M_impro07;F;Encouraging and warm, shows genuine happiness for the speaker, practical and helpful in giving advice, emphasizes community and belonging, supportive in planning and future goals, balances enthusiasm with realism.;
Ses05M_impro08;M;Patient, calm, empathetic, and helpful. Tries to diagnose the problem step-by-step and reassures the caller. Offers personal contact to provide accountability and reduce caller frustration.;
Ses05M_impro08;F;Frustrated and exhausted from repeated unresolved issues. Persistent in explaining the problem and seeking a real solution. Shows relief and appreciation when offered genuine help and accountability.;
Ses05M_script01_1;M;Reflective and emotionally conflicted, struggling with honesty and family dynamics. Shows care and responsibility, wants to resolve tensions but feels burdened by potential hurt to others.;
Ses05M_script01_1;F;Protective and cautious, sensitive about emotional impact on family. Holds on to hope and memories, reluctant to confront harsh realities, yet pragmatic about consequences.;
Ses05M_script01_1b;M;Pragmatic and realistic, struggles with emotional honesty, desires stability and love but feels trapped by family obligations and past losses. Tends to be direct, somewhat frustrated, yet considerate about others' feelings. Shows inner conflict between personal desires and family loyalty.;
Ses05M_script01_1b;F;Protective and emotionally vulnerable, clings to hope and denial about loss, cautious about upsetting family dynamics. Sometimes avoids direct confrontation, relies on faith and tradition, shows concern for maintaining family unity even at emotional cost.;
Ses05M_script01_2;M;Calm and diplomatic, tries to defuse tension, open to reasoning but somewhat detached. Shows patience but also a degree of frustration with emotional conflicts around him. More neutral, acts as mediator in disputes.;
Ses05M_script01_2;F;Highly emotional and faith-driven, deeply invested in hope and belief about the missing loved one. Strong-willed and demanding, struggles to cope with uncertainty, wants to preserve illusions for emotional survival. Vulnerable but forceful in expressing feelings.;
Ses05M_script01_3;M;Reflective and burdened by past trauma, deeply values loyalty and honor, struggles with vulnerability and expressing emotions, feels conflicted about societal expectations and personal responsibilities, longs for genuine connection and redemption.;
Ses05M_script01_3;F;Pragmatic and cautious, perceptive about social dynamics, emotionally guarded yet sincere, values honesty and readiness in relationships, balances affection with realism, tends to challenge ambiguity and seeks clarity.;
Ses05M_script02_1;M;Optimistic and enthusiastic, enjoys sharing experiences, slightly forgetful but humorous about his flaws, eager to connect and create memorable moments, appreciates natural wonders and tries to see magic in the mundane.;
Ses05M_script02_1;F;Practical and reserved, less interested in romanticizing events, grounded and straightforward, prioritizes comfort and realistic expectations, skeptical about overhyped phenomena, values direct communication and emotional honesty.;
Ses05M_script02_2;M;Pragmatic and hopeful, tries to keep things light despite tension, somewhat insensitive but earnest, wants to reconnect and fix misunderstandings, shows persistence and desire to hold onto shared memories.;
Ses05M_script02_2;F;Skeptical and emotionally guarded, feels disappointment and frustration with unmet expectations, introspective and longing for authenticity, struggles to express vulnerability, desires stability and understanding.;
Ses05M_script03_1;M;Cautious and protective, seeks reassurance, tries to maintain calm in uncertain situations, emotionally connected and supportive towards partner.;
Ses05M_script03_1;M;Philosophical yet flippant, uses humor to mask deeper fears, sometimes morbid, shows possessiveness but also deep affection, prone to jealousy and sarcasm, nostalgic about past conflicts, struggles with emotional intensity.;
Ses05M_script03_1;F;Sensitive and emotionally expressive, pragmatic about love's impermanence, mixes vulnerability with wit, affectionate but cautious, tends to oscillate between sincerity and playful sarcasm, values loyalty but fears loss.;
Ses05M_script03_2;M;Jealous and suspicious, often defensive, tends to escalate conflicts with sarcasm and insults, struggles with alcohol, mixes bitterness with humor, prone to mood swings, simultaneously controlling and vulnerable.;
Ses05M_script03_2;F;Assertive and confrontational, unwilling to tolerate disrespect, uses sharp retorts, shows emotional exhaustion and frustration, maintains composure but expresses anger clearly, values self-respect and boundaries, challenges partner’s behavior.;
